rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-68,-81,-83,-83,-78,-83,-93,-80,-88,-95,-91,-101,1,2,K-08
-72,-83,-62,-83,-80,-80,-85,-79,-94,-85,-83,-97,1,3,K-12
-83,-81,-79,-84,-65,-71,-92,-84,-81,-90,-82,-99,3,7,L-05
-98,-83,-83,-95,-90,-88,-71,-94,-60,-52,-67,-75,8,4,H-09
-79,-89,-74,-68,-78,-72,-81,-96,-86,-82,-87,-91,1,4,H-02
-83,-73,-82,-91,-89,-77,-80,-76,-93,-87,-91,-92,3,2,K-10
-74,-73,-75,-77,-79,-71,-72,-88,-83,-90,-92,-97,1,8,L-09
-79,-70,-72,-74,-69,-77,-77,-94,-84,-84,-88,-98,2,6,L-06
-89,-65,-76,-79,-86,-69,-75,-78,-79,-75,-93,-90,4,5,L-02
-69,-80,-79,-87,-88,-83,-83,-66,-91,-90,-95,-99,3,0,K-04
-66,-77,-81,-101,-84,-88,-83,-74,-86,-92,-91,-96,1,1,K-05
-81,-87,-79,-87,-63,-70,-90,-90,-81,-90,-81,-98,3,7,L-05
-81,-79,-79,-71,-79,-69,-78,-83,-88,-87,-93,-90,0,4,H-01
-81,-84,-82,-90,-79,-72,-61,-80,-77,-74,-78,-87,4,5,L-02
-82,-86,-80,-72,-78,-69,-80,-83,-91,-85,-88,-94,0,4,H-01
-77,-75,-74,-86,-70,-69,-71,-78,-78,-83,-97,-94,3,5,L-01
-72,-73,-91,-81,-88,-81,-90,-77,-90,-82,-95,-96,3,1,K-07
-73,-78,-82,-89,-81,-83,-90,-82,-97,-87,-101,-95,0,0,K-01
-74,-77,-76,-75,-80,-88,-74,-87,-89,-90,-86,-97,1,8,L-09
-79,-77,-89,-85,-70,-76,-85,-89,-94,-89,-97,-99,2,8,L-10
-79,-74,-76,-76,-65,-71,-75,-85,-88,-84,-79,-92,2,7,L-08
-73,-73,-84,-83,-88,-76,-91,-77,-90,-83,-94,-96,3,1,K-07
-95,-75,-80,-89,-81,-62,-73,-96,-74,-72,-86,-89,4,4,H-05
